Numéro NATINF;Nature de l'infraction;Qualification de l'infraction;Définie par;Réprimée par
25448;Délit;PRODUCTION, DISTRIBUTION D'EAU AU PUBLIC EN VUE DE L'ALIMENTATION HUMAINE MALGRE RESTRICTION OU INTERRUPTION POUR RISQUE SANITAIRE;ART.L.1324-3 §I 6°, ART.L.1321-4 §I 6°, ART.R.1321-29 C.SANTE.PUB.;ART.L.1324-3 §I C.SANTE.PUB.
25449;Délit;PRODUCTION, DISTRIBUTION D'EAU AU PUBLIC EN VUE DE L'ALIMENTATION HUMAINE DONT LES REFERENCES DE QUALITE FONT COURIR UN RISQUE SANITAIRE SANS INFORMER ET CONSEILLER LE CONSOMMATEUR;ART.L.1324-3 §I 6°, ART.L.1321-4 §I 3°, 6°, ART.R.1321-30 C.SANTE.PUB.;ART.L.1324-3 §I C.SANTE.PUB.
25450;Délit;OFFRE AU PUBLIC D'EAU MINERALE SANS S'ASSURER QU'ELLE EST PROPRE A L'USAGE QUI EN EST FAIT;ART.L.1324-3 §I 6°, ART.L.1322-2 §I C.SANTE.PUB.;ART.L.1324-3 §I C.SANTE.PUB.
25451;Délit;MISE A DISPOSITION D'EAU MINERALE SANS ASSURER SES OBLIGATIONS EN MATIERE DE VERIFICATION ET DE SURVEILLANCE DE SA QUALITE;ART.L.1324-3 §I 6°, ART.L.1322-2 §II 1°, 2°, 4°, 5°, ART.R.1322-29 C.SANTE.PUB.;ART.L.1324-3 §I C.SANTE.PUB.
25452;Délit;MISE A DISPOSITION D'EAU MINERALE MALGRE RESTRICTION OU INTERRUPTION POUR RISQUE SANITAIRE;ART.L.1324-3 §I 6°, ART.L.1322-2 §II 6°, ART.R.1322-44-8 C.SANTE.PUB.;ART.L.1324-3 §I C.SANTE.PUB.
25456;Délit;OBSTACLE AUX FONCTIONS DES INSPECTEURS DE LA RADIOPROTECTION;ART.L.1337-7, ART.L.1333-29, ART.L.1333-30 C.SANTE.PUB.;ART.L.1337-7, ART.L.1337-9 AL.1 C.SANTE.PUB. ART.L.173-5, ART.L.173-7 C.ENVIR.
25457;Délit;FINANCEMENT D'ENTREPRISE TERRORISTE;ART.421-2-2 C.PENAL.;ART.421-5 AL.1, ART.421-7, ART.421-8, ART.422-3, ART.422-4, ART.422-6, ART.131-26-2 C.PENAL.
25458;Délit;OUVERTURE ET EXPLOITATION NON DECLAREE D'UN ETABLISSEMENT DE FABRICATION, CONDITIONNEMENT OU D'IMPORTATION DE PRODUIT DE TATOUAGE;ART.L.5437-2 1°, ART.L.513-10-1, ART.L.513-10-2 AL.1,AL.2,AL.3, ART.R.513-10-2 C.SANTE.PUB.;ART.L.5437-2 AL.1, ART.L.5437-3 C.SANTE.PUB.
25459;Délit;DIRECTION D'UN ETABLISSEMENT DE FABRICATION, DE CONDITIONNEMENT OU D'IMPORTATION DE PRODUIT DE TATOUAGE SANS AVOIR DESIGNE DE PERSONNE QUALIFIEE RESPONSABLE;ART.L.5437-2 2°, ART.L.513-10-2 AL.4, ART.L.513-10-1 C.SANTE.PUB.;ART.L.5437-2 AL.1, ART.L.5437-3 C.SANTE.PUB.
25460;Délit;MISE SUR LE MARCHE DE PRODUIT DE TATOUAGE SANS TRANSMISSION AU CENTRE ANTIPOISON DES SUBSTANCES UTILISEES;ART.L.5437-2 3°, ART.L.513-10-2 AL.4, ART.L.513-10-6, ART.L.513-10-1 C.SANTE.PUB.;ART.L.5437-2 AL.1, ART.L.5437-3 C.SANTE.PUB.
25463;Contravention de classe 5;COMMUNICATION NON CONFORME A L'AGENCE NATIONALE DE SANTE PUBLIQUE D'INFORMATION COUVERTE PAR LE SECRET MEDICAL OU INDUSTRIEL ET RELATIVE A DES RISQUES POUR LA SANTE HUMAINE;ART.R.1413-43, ART.R.1413-34, ART.R.1413-35, ART.L.1413-8 C.SANTE.PUB.;ART.R.1413-43 C.SANTE.PUB.
25464;Délit;ABUS FRAUDULEUX DE L'ETAT DE SUJETION PSYCHOLOGIQUE OU PHYSIQUE D'UNE PERSONNE RESULTANT DE PRESSIONS OU TECHNIQUES PROPRES A ALTERER SON JUGEMENT POUR LA CONDUIRE A UN ACTE OU UNE ABSTENTION PREJUDICIABLE;ART.223-15-3 §I AL.2 C.PENAL.;ART.223-15-3 §I AL.2, ART.223-15-4, ART.131-30 AL.1 C.PENAL.
25466;Délit;CONSTITUTION IRREGULIERE DE GROUPEMENT D'EMPLOYEURS SOUMIS A UNE CONVENTION COLLECTIVE;ART.L.1255-13 AL.1, ART.L.1253-1, ART.L.1253-2, ART.L.1253-6, ART.L.1253-7, ART.L.1253-17 C.TRAVAIL.;ART.L.1255-13 AL.1, AL.3 C.TRAVAIL.
25468;Délit;MISE A DISPOSITION SUR LE MARCHE DE PRODUIT BIOCIDE NON AUTORISE;ART.L.522-16 §I 1°, ART.L.522-1 §I C.ENVIR. ART.17 §I, ART.89 REGLT.UE DU 22/05/2012.;ART.L.522-16 §I AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR.
25469;Délit;FOURNITURE DE RENSEIGNEMENT INEXACT POUVANT ENTRAINER DES PRESCRIPTIONS MOINS CONTRAIGNANTES POUR LA SUBSTANCE ACTIVE BIOCIDE, LE PRODUIT EN CONTENANT OU L'ARTICLE TRAITE AVEC CETTE SUBSTANCE;ART.L.522-16 §I 3°, ART.L.522-1 C.ENVIR.;ART.L.522-16 §I AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR.
25470;Délit;DISSIMULATION DE RENSEIGNEMENT SUR UNE SUBSTANCE ACTIVE BIOCIDE OU UN PRODUIT EN CONTENANT;ART.L.522-16 §I 3°, ART.L.522-1 §I C.ENVIR.;ART.L.522-16 §I AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR.
25471;Délit;DETENTION EN VUE DE LA MISE A DISPOSITION SUR LE MARCHE POUR UTILISATION PAR UN PUBLIC NON PROFESSIONNEL DE PRODUIT BIOCIDE DANGEREUX;ART.L.522-16 §I 4°, ART.L.522-1 §I C.ENVIR. ART.19 §4 REGLT.UE DU 22/05/2012.;ART.L.522-16 §I AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR.
25472;Délit;MISE A DISPOSITION SUR LE MARCHE DE PRODUIT BIOCIDE MALGRE INTERDICTION;ART.L.522-16 §I 1°,ART.L.522-1 §I, ART.L.522-5-1, ART.L.522-6, ART.R.522-15 AL.1, ART.R.522-16 AL.2 C.ENVIR.;ART.L.522-16 §I AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR.
25473;Délit;MISE A DISPOSITION SUR LE MARCHE DE PRODUIT BIOCIDE SANS RESPECT D'UNE MESURE DE RESTRICTION;ART.L.522-16 §I 1°, ART.L.522-1 §I, ART.L.522-5-1, ART.L.522-6, ART.R.522-15 AL.1 C.ENVIR. ART.27 §2, ART.88 REGLT.UE DU 22/05/2012.;ART.L.522-16 §I AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR.
25475;Délit;UTILISATION D'UN PRODUIT BIOCIDE EN MECONNAISSANCE DES CONDITIONS DE L'AUTORISATION DE MISE SUR LE MARCHE;ART.L.522-16 §II 1°, ART.L.522-1 §I, ART.L.522-5-1 C.ENVIR. ART.22 §I A), ART.53 §5 REGLT.UE DU 22/05/2012.;ART.L.522-16 §II AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR.
25476;Délit;UTILISATION D'UN PRODUIT BIOCIDE MALGRE INTERDICTION;ART.L.522-16 §II 1°, ART.L.522-5-1, ART.L.522-1 §I, ART.R.522-15 AL.1, ART.R.522-16 AL.2 C.ENVIR.;ART.L.522-16 §II AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR.
25477;Délit;UTILISATION D'UN PRODUIT BIOCIDE SANS RESPECTER DES PRESCRIPTIONS PARTICULIERES D'UTILISATION;ART.L.522-16 §II 1°, ART.L.522-5-1, ART.L.522-1 §I, ART.R.522-15 AL.1, ART.R.522-16 AL.2 C.ENVIR.;ART.L.522-16 §II AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR.
25479;Délit;EXERCICE DES FONCTIONS DE REPRESENTANT D'UNE PERSONNE MORALE AYANT UNE ACTIVITE D'ENTREMISE ET DE GESTION D'IMMEUBLE ET FONDS DE COMMERCE SANS JUSTIFIER DE SON APTITUDE PROFESSIONNELLE;ART.14 C), ART.1, ART.3 1° LOI 70-9 DU 02/01/1970. ART.11, ART.12, ART.14, ART.15, ART.16, ART.16-1, ART.16-2, ART.16-3 DECRET 72-678 DU 20/07/1972.;ART.14 AL.1 LOI 70-9 DU 02/01/1970.
25480;Délit;EXERCICE DES FONCTIONS DE REPRESENTANT D'UNE PERSONNE MORALE AYANT UNE ACTIVITE D'ENTREMISE ET DE GESTION D'IMMEUBLE ET FONDS DE COMMERCE MALGRE INCAPACITE;ART.14 C), ART.1, ART.3 4° LOI 70-9 DU 02/01/1970. ART.9, ART.10, ART.12 DECRET 72-678 DU 20/07/1972.;ART.14 AL.1 LOI 70-9 DU 02/01/1970.
25481;Délit;DIRECTION, SANS DECLARATION, D'ETABLISSEMENT, SUCCURSALE, AGENCE OU BUREAU D'ENTREMISE ET DE GESTION D'IMMEUBLE ET FONDS DE COMMERCE;ART.14 B), ART.1, ART.3 AL.11 LOI 70-9 DU 02/01/1970. ART.8 DECRET 72-678 DU 20/07/1972.;ART.14 AL.1 LOI 70-9 DU 02/01/1970.
25482;Délit;DISCRIMINATION FONDEE SUR L'AGE - OFFRE OU FOURNITURE D'UN BIEN OU D'UN SERVICE;ART.225-2 1°, 4°, ART.225-1 C.PENAL.;ART.225-2 AL.1, ART.225-19 1°, 2°, 3°, 4°, ART.131-26-2, ART.131-30 AL.1 C.PENAL.
25483;Délit;VENTE EN LIQUIDATION DE MARCHANDISE NON COMPRISE DANS L'INVENTAIRE FOURNI DANS LA DECLARATION PREALABLE DE VENTE;ART.L.310-5 1°, ART.L.310-1 C.COMMERCE.;ART.L.310-5 AL.1, AL.9 C.COMMERCE.
25484;Contravention de classe 5;VENTE EN LIQUIDATION SANS AFFICHAGE DU RECEPISSE DE DECLARATION;ART.R.310-19 1°, ART.R.310-4, ART.L.310-1 AL.1, ART.A.310-4 C.COMMERCE.;ART.R.310-19 AL.1 C.COMMERCE.
25485;Délit;AIDE A L'ENTREE, A LA CIRCULATION OU AU SEJOUR IRREGULIERS D'UN ETRANGER EN FRANCE OU DANS L'ESPACE SCHENGEN DANS DES CONDITIONS L'EXPOSANT A UN RISQUE IMMEDIAT DE MORT OU D'INFIRMITE PERMANENTE;ART.L.823-3 2°, ART.L.823-1, ART.L.823-2 1°, ART.L.820-1 C.E.S.E.D.A.;ART.L.823-3 AL.1, ART.L.823-4, ART.L.823-5, ART.L.823-6 C.E.S.E.D.A.
25486;Délit;AIDE A L'ENTREE, A LA CIRCULATION OU AU SEJOUR IRREGULIERS D'UN ETRANGER EN FRANCE OU DANS L'ESPACE SCHENGEN AYANT POUR EFFET DE LE SOUMETTRE A DES CONDITIONS INCOMPATIBLES AVEC LA DIGNITE HUMAINE;ART.L.823-3 3°, ART.L.823-1, ART.L.823-2 1°, ART.L.820-1 C.E.S.E.D.A.;ART.L.823-3 AL.1, ART.L.823-4, ART.L.823-5, ART.L.823-6 C.E.S.E.D.A.
25487;Délit;AIDE A L'ENTREE, A LA CIRCULATION OU AU SEJOUR IRREGULIERS D'UN MINEUR ETRANGER EN FRANCE OU DANS L'ESPACE SCHENGEN AYANT POUR EFFET DE L'ELOIGNER DE SON MILIEU FAMILIAL OU DE SON ENVIRONNEMENT TRADITIONNEL;ART.L.823-3 5°, ART.L.823-1, ART.L.823-2 1°, ART.L.820-1 C.E.S.E.D.A.;ART.L.823-3 AL.1, ART.L.823-4, ART.L.823-5, ART.L.823-6 C.E.S.E.D.A.
25488;Délit;AIDE A L'ENTREE, A LA CIRCULATION OU AU SEJOUR IRREGULIERS D'UN ETRANGER SUR LE TERRITOIRE D'UN ETAT PARTIE AU PROTOCOLE CONTRE LE TRAFIC ILLICITE DE MIGRANTS;ART.L.823-2 2°, ART.L.820-1 C.E.S.E.D.A.;ART.L.823-2 AL.1, ART.L.823-4, ART.L.823-6 C.E.S.E.D.A.
25489;Délit;CONCLUSION DE CONTRAT DE SOUS-TRAITANCE POUR LA CONSTRUCTION DE MAISON INDIVIDUELLE SANS ENONCIATION DE LA JUSTIFICATION D'UNE GARANTIE DE PAIEMENT;ART.L.241-9, ART.L.231-13 G), ART.L.232-2 C.CONSTRUCT.;ART.L.241-9 C.CONSTRUCT.
25490;Contravention de classe 4;PRESENTATION, PAR PERSONNE MORALE, D'UN BIEN OU PRODUIT EN LANGUE ETRANGERE;ART.4, ART.1 §I 1° DECRET 95-240 DU 03/03/1995. ART.2 AL.1 LOI 94-665 DU 04/08/1994. ART.121-2 C.PENAL.;ART.4, ART.1 §I AL.4 DECRET 95-240 DU 03/03/1995. ART.131-41 C.PENAL.
25496;Contravention de classe 3;DISTRIBUTION DE PILES OU D'ACCUMULATEURS SANS ASSURER LA REPRISE GRATUITE DE LEURS DECHETS;ART.R.543-133 2°, ART.R.543-128-1, ART.R.543-129-1, ART.R.543-124 I, ART.R.543-125 C.ENVIR.;ART.R.543-133 AL.1, ART.L.173-7 2° C.ENVIR.
25501;Contravention de classe 3;PRODUCTION DE PILES OU ACCUMULATEURS SANS DECLARATION CONFORME DES QUANTITES ET TYPES MIS SUR LE MARCHE;ART.R.543-133 1° B), ART.R.543-132, ART.R.543-124 I, ART.R.543-125 C.ENVIR. ART.4 ARR.MINIST DU 18/11/2009.;ART.R.543-133 AL.1, ART.L.173-7 2° C.ENVIR.
25503;Contravention de classe 3;TRAITEMENT DE DECHETS DE PILES OU D'ACCUMULATEURS SANS DECLARATION CONFORME DES QUANTITES ET TYPES DE PILES OU ACCUMULATEURS CONCERNES;ART.R.543-133 3°, ART.R.543-132, ART.R.543-124 I, ART.R.543-125 C.ENVIR, ART.10 AL.1,AL.2,AL.3,AL.4 ARR.MINIST DU 18/11/2009.;ART.R.543-133 AL.1, ART.L.173-7 2° C.ENVIR.
